collection,img,name1,name2,link,price,likes
cryptoskulls,https://lh3.googleusercontent.com/h2cUkzdConi0zU4mItfjJAyX-iXVecRUf0y9rebIDVpuiuLdHPO67shRwmjyKLLviy_Jn93CCM8Mf_tX7sjxcHyX=w282,CryptoSkulls,CryptoSkull #2679,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/2679,1.75,3
cryptoskulls,https://lh3.googleusercontent.com/hmqoCeffEIv8XbD2yGsK3vK2Q6CkabnExhapmycVWAiqGHYhmqWlE2tRJGbJGyZgv5pJiP-pnFmHEvGP03HFfCCh=w282,CryptoSkulls,CryptoSkull #1089,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1089,1.79,5
cryptoskulls,https://lh3.googleusercontent.com/O-ok3l7fs3vtcQNSNGVdPgAS_0ZZ1-prN4kZuKYHqOn5T-TdBdofLPqNw0Y_Tadcr8dBgc2JKDM2XevhhkkRfr0c=w282,CryptoSkulls,CryptoSkull #6791,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/6791,1.8,8
cryptoskulls,https://lh3.googleusercontent.com/mju7SKv061ffpp0yfEh3kXoTtHnhGHCAZ3guK2cy3l9eZRyB35QGpVOLmQ-6dP2rU52fDIXFv8ru-WWBZl4Heg9m=w282,CryptoSkulls,CryptoSkull #4161,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4161,1.8,1
cryptoskulls,https://lh3.googleusercontent.com/wMaB8aXG7LXAEp1E_VvJjCmjrNzmQcoCGYIM4g1Dj3_OWpr2HjMA8OfWfmualibJVBzXX4vauSBVJimkLv2KsbGM=w282,CryptoSkulls,CryptoSkull #1495,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1495,1.8,7
cryptoskulls,https://lh3.googleusercontent.com/3fMlkPDq6yCMtbVNOjyqz7aw99DDwsNgvrNvlXhw8DBdMTSmw64Mc9DINa21WJNOc4DDRln-zL4tzN7z6JxEN3f2kg=w282,CryptoSkulls,CryptoSkull #7977,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/7977,1.8,12
cryptoskulls,https://lh3.googleusercontent.com/vn-vOlJhxlqaBADOrQ0cePWykRrtbHwsPIFIVmOa2W63ji3kk3HISjgq0fziRdK4iOqMCd3lum0E5PWF4ynMY1WJ=w282,CryptoSkulls,CryptoSkull #5472,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/5472,1.85,5
cryptoskulls,https://lh3.googleusercontent.com/IMz2wtt_e6UTwONAgwGW6b1s58SHZgZMNhJtg3IAK6heiQokWuUg0boxxu3ICBYAlGvRwKdStMmEWhX9BJ6STYjA=w282,CryptoSkulls,CryptoSkull #5040,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/5040,1.877,10
cryptoskulls,https://lh3.googleusercontent.com/WVpZx0C3A-F1JfxCRvfdFayLd7pL9sApp2wsNloarGukRxyrgBIaAUtzFVNPndb9xBvY-u7pDnnvBOE9SuNn9HI=w282,CryptoSkulls,CryptoSkull #8956,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8956,1.88,2
cryptoskulls,https://lh3.googleusercontent.com/Mn2SgELquCIuoXakmcPeNLvz3Y9KDyb6jhp_ENmpa11iuML_8SsNrA7YOJrcXYlYGwEbfP7Yt3OJ276rqAq7136n=w282,CryptoSkulls,CryptoSkull #3785,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/3785,1.888,5
cryptoskulls,https://lh3.googleusercontent.com/NBJ1Mirpn5rupwdASOH2cu1ofLJFlK-fV5PfDQrew3axEWVBRDZsxXSWeQgO9MOlt7TJEu7vJox7qzk-YS-1_Z-F=w282,CryptoSkulls,CryptoSkull #8720,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8720,1.89,8
cryptoskulls,https://lh3.googleusercontent.com/jt9SVuqeyOaThaPDkblGOlFAIfx56iEdCn1h6EZWH1BK_QRxBQTSRUgtum7AFD1I6cTQWrM6yHT4b23olGjnBZA=w282,CryptoSkulls,CryptoSkull #4810,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4810,1.89,7
cryptoskulls,https://lh3.googleusercontent.com/C2Xmy-F7pyMXAJ-UO07b93BTxS-rWfrABB1ObrBx4rovidUqOhNftvAlggBMrAoLP7jJlvqyKzAuZ3-Awg-j5Xyw=w282,CryptoSkulls,CryptoSkull #8663,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8663,1.1,80
cryptoskulls,https://lh3.googleusercontent.com/lVZrdr4ABfdNQIYVxA-cSDV6u7hqd9rw52LEdFuDyzbvtV8F-00a0iMoAro-9lsEPg0sP-3P0ABDLlm5wh_xG_Xy=w282,CryptoSkulls,CryptoSkull #4463,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4463,1.485,4
cryptoskulls,https://lh3.googleusercontent.com/KcXw4zE4-6KvkEMX3pU2j6yGNDEzuq5XHDqFAf_-x3Zk8YtPvcClyrD8Sqec3Jr7Bu7FAmD7x_egBSrV2Sj7Mt-B=w282,CryptoSkulls,CryptoSkull #1077,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1077,0.529,3
cryptoskulls,https://lh3.googleusercontent.com/Dnsen9i5QIzYPITpuwGXME5q1asuAZut44sB_X1bIg9x2-zJhScQn0ORPT8AZPLEqin9lR9_Twqw7UCdlCyFyOj2=w282,CryptoSkulls,CryptoSkull #9634,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/9634,1.5,14
cryptoskulls,https://lh3.googleusercontent.com/RLlLSlHRbpL4UT7yY0CLQNj9Ae0CyFA7BAJeg4GszR2-vrL27Bm0lg-Dee8xMa4GLb4soahLlDZOyY3WYE8o97Z8=w282,CryptoSkulls,CryptoSkull #4618,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4618,1.55,9
cryptoskulls,https://lh3.googleusercontent.com/mp7cfba5uSkv4iiG6Fiw_3X-n6_VCN0x5p_vNulA42DaPOO6veLDo59mSYBjn4HTH1ba5ctHys0yPBg0S5kFz7M6=w282,CryptoSkulls,CryptoSkull #7975,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/7975,1.569,12
cryptoskulls,https://lh3.googleusercontent.com/CSY2D7_xcoM4bN_lYIWXxd_EcysPnu6cRUAmMY6CglsrQ48PkaaXmvumdnamr02UWVZeb0Ef31LXR7oWyeU15YhTqg=w282,CryptoSkulls,CryptoSkull #1739,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1739,1.569,1
cryptoskulls,https://lh3.googleusercontent.com/Yw_uRhgRlcKxelamDS-E0PSmfWzLTZ3WrALT8f7vupM05fpASrSO9I5GdHXa4uPCwL05_I0X74o85D7jCA22AcIS=w282,CryptoSkulls,CryptoSkull #9863,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/9863,1.569,7
cryptoskulls,https://lh3.googleusercontent.com/tZmqcC9d7PWae9R3Qc0aG4HG8s_qgnyvRtbE2gv-UGjM5K-je3zEKhJdcMhaH9rvVj8J3Jn4OZjNHzJ9rcSH5rvs-Q=w282,CryptoSkulls,CryptoSkull #8926,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8926,1.0,47
cryptoskulls,https://lh3.googleusercontent.com/kNswkqQx9CukGS7VGJu5Ul64B5cc7mLlh1PW6eiAN4NRiR0q0ZR9eNEkAISCCIFt6KLFcJQfkmDDpD1bgt7hsF0A=w282,CryptoSkulls,CryptoSkull #9092,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/9092,1.69,5
cryptoskulls,https://lh3.googleusercontent.com/tkrLzdTfpjjAyYQsETeMTblLVn-yvBP-E0rHzQSPNui74ScVzyWA0wQZXaHsKWkPy7bFHEd3i6C6RcBd0d8-jovkEw=w282,CryptoSkulls,CryptoSkull #2043,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/2043,1.699,12
cryptoskulls,https://lh3.googleusercontent.com/yEuBzRN46E_AhgZ5JtdmpVVZBgLHbSu6oBgjCASB_oOhVnLxPYaGCvfXMMXmNW0DJeJBmyd5WTNBUOc6aLaIiQE=w282,CryptoSkulls,CryptoSkull #8123,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8123,1.7,4
cryptoskulls,https://lh3.googleusercontent.com/LFx7RqGsVrzmmJ6VfqI7uA1T8UpMOoL9s-ArrjWePAbWCFGzWDjngqsA54LeIfq3l-x-L0AXQa64A8OeXHWasg4=w282,CryptoSkulls,CryptoSkull #9237,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/9237,1.7,11
cryptoskulls,https://lh3.googleusercontent.com/i7Q7nnsdQgMjUcKvdm3Lonyd_xIYYG67MFaZfXiDRedpArDYIAa0gyHiT1t579Xz-_7_BeV5y_StksJxPJWNuHpX=w282,CryptoSkulls,CryptoSkull #1918,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1918,1.7,6
cryptoskulls,https://lh3.googleusercontent.com/h9zXcWXuHvrz-oGBss0DGxTUTBFa1zhftmS998c25QcJ8nEyTN6BGBZcP1qAswlEK9zgWqyKdLUV0MRNDN0xSr8=w282,CryptoSkulls,CryptoSkull #3252,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/3252,5.14,6
cryptoskulls,https://lh3.googleusercontent.com/axvJoSCt0Ep5oQSXqMgb7HCNiZrTSILYY7p2R90antNEq4KLzdbQt68TwwzeFUZ30wSsdycvLUSfCIAgr0WfZb4=w282,CryptoSkulls,CryptoSkull #288,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/288,5.25,3
cryptoskulls,https://lh3.googleusercontent.com/3LiMxJD9ykfH464h4guaVH0MPYaAquZGtsS1lw4qhFnxzNNE6U96z5iGg1Pzhc8QnKZyoWHVy_j52n9dqbStyj341w=w282,CryptoSkulls,CryptoSkull #8198,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8198,5.3,6
cryptoskulls,https://lh3.googleusercontent.com/jn8nqfZ0c_u_plJRGlO_EJgkv3J7Ou1ChsJPACbRUvegyd42Vp_dCjfhuJxwDqJu3FFaq6X_mXt089B7-v5c5e7n=w282,CryptoSkulls,CryptoSkull #3552,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/3552,5.4,1
cryptoskulls,https://lh3.googleusercontent.com/6qQdkeVHCXCSI76JwpDa6SDUO_ACzojcPVpHx5eZzTXLUVLMqfW0s17Rd3sl1jOOV-aqMswEgCBbXHNDzoICpVU=w282,CryptoSkulls,CryptoSkull #9437,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/9437,5.5,5
cryptoskulls,https://lh3.googleusercontent.com/svjI-K0ZejFaH6vlFJ3bQ7mpmCXImi0cMl5EJZpeL3wHER2knIQ1rx7hPXeHYhnEZFYTUX0Ms7QRL6rncEOUz8Ki=w282,CryptoSkulls,CryptoSkull #4514,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4514,5.5,6
cryptoskulls,https://lh3.googleusercontent.com/docq7LcSZWpApkfbbPiz61MUftISfiWrHEkkbA3jmjpw0c6ZPtGbVAOs5Pi7fUekt3bZ0L4wU1-8uCMEHcYQhSBG=w282,CryptoSkulls,CryptoSkull #5787,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/5787,5.5,16
cryptoskulls,https://lh3.googleusercontent.com/rM9NopH9a9LioMCn_GCH-wDqnyGIQ9memy_oM4GH1Z_WHlULHyWmAuoNrp9QIfIx-7xGra0fneFIWXNmH1O59tWo=w282,CryptoSkulls,CryptoSkull #155 (Game Token),https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/155,5.0,2
cryptoskulls,https://lh3.googleusercontent.com/TxXfzgg57Jubm088khi0F5WpJZhZrg0C-6y62xtMv4pp2FYIm4tfdBpAPYSPDXKc9H50nDDmbzAMOC-pwO0c8iQdJg=w282,CryptoSkulls,CryptoSkull #4702,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4702,5.0,1
cryptoskulls,https://lh3.googleusercontent.com/TgTVaivTVi_xMA6Mz6TRydhavgBH5U_JZMiygfFpLP4IlAL1SZk8o98qsh98slmm_Q_SrecjHrs0Yd-Pc_PVJNuJ=w282,CryptoSkulls,CryptoSkull #642,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/642,5.0,7
cryptoskulls,https://lh3.googleusercontent.com/hCTRUPfBywH6d19P2nG4TW2VmGAOTxBY0PY6VwQVKekmiegWduLZvsR1bUxjMCxAyfWZjTlyWL1_HtUX7yblvMM=w282,CryptoSkulls,CryptoSkull #4211,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4211,5.0,3
cryptoskulls,https://lh3.googleusercontent.com/M7fkVHJ6nq2aRTYVqpmmaP-wAYvppEZH8KwpZQV5Ikdh8UceMdTB_FHIhnnZkqmXTT1pe9K5LW5X0p6CuFtzpepVsQ=w282,CryptoSkulls,CryptoSkull #79,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/79,5.0,7
cryptoskulls,https://lh3.googleusercontent.com/f7l4B7pvJaI_vAnogw1rIMhkWzGGFQ2VIFrgDvGCjaCIONpf6SgjFobn6SMOdZmuTyqXq24pLzrqmJV_AkPNyEpd3A=w282,CryptoSkulls,CryptoSkull #2051,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/2051,5.0,6
cryptoskulls,https://lh3.googleusercontent.com/wARZO3NrT8zDA6dKDGG4ZeFizQDgW8bgfn5HZ_fOlE_lBE7kMAOQABV6zodXwV03p03rwbrRL2e56EhtCKKLcPIS=w282,CryptoSkulls,CryptoSkull #1949,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1949,5.0,2
cryptoskulls,https://lh3.googleusercontent.com/9CYqsFRoWtqZuRjAEKm43vH3FVipcC_AkRYbrdxEEWJFKX8I53g-wcgTx3YvqTKme-8CG8LGUOTxNVMSdGRxM4nj1g=w282,CryptoSkulls,CryptoSkull #1428,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1428,5.0,2
cryptoskulls,https://lh3.googleusercontent.com/xFR5xYWPmj9YiyhcQbteCrLdqI_Kq7wrQaYGOH4fKBFG7J5QdSvEUOjSar3ITQJ66ZJHl6PgaSyIucoqedrfM3j9=w282,CryptoSkulls,CryptoSkull #187 (Game Token),https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/187,5.0,5
cryptoskulls,https://lh3.googleusercontent.com/A_WwnrPIIGcVmD_pM0k9XAQjiAKvp3yb33OAxsIQ3inBFMfvUstEe3nCLwNAOL0-EnT0BWPaiXREAF9A-LOO8X3y=w282,CryptoSkulls,CryptoSkull #6073,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/6073,5.0,5
cryptoskulls,https://lh3.googleusercontent.com/5URoKt7T2lVX_TJPHNVTC0DaOdvhkdfJAw00vx1BDAZVtP6AeGIqKcY9hmCuWsGZ3agSQL0kTybetN78SINmNXuu=w282,CryptoSkulls,CryptoSkull #7083,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/7083,5.0,3
cryptoskulls,https://lh3.googleusercontent.com/JfkF9x2cvg8gHKD3OvaHwDrofDDo2LA7eylWn9QpRGT2Oy7KuBpuu74qQqMt9c4mLbTbx-F9baK_Nk3EzHpg-Bw=w282,CryptoSkulls,CryptoSkull #9009,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/9009,5.0,3
cryptoskulls,https://lh3.googleusercontent.com/9LA4ps3JJbrmEsI2NG6I1b8nCl6zIQk_d3I-n76MEwLVfpJRvUxje2spw5LM3cH30d3ieaD9WXeyd_xCx2ZyNb9X=w282,CryptoSkulls,CryptoSkull #978,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/978,5.0,3
cryptoskulls,https://lh3.googleusercontent.com/ISY74nRcKFq9OFKIKb_QPsDIbCGt9HfNwboCQ63NAM75rPeeub4biM4ureN5kY3WMUiSuXWBLOwayM0Tgtl1QK4=w282,CryptoSkulls,CryptoSkull #4037 (Game Token),https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/4037,5.0,4
cryptoskulls,https://lh3.googleusercontent.com/-2IwhDt_UeNDB7FEyHL-7I7iROrqGWn3JcJyx8ZErCM5s3tM9YJe3c4qpMykDtrET3FeEQ4-YuOfLQ9iphXd2G4h=w285,CryptoSkulls,CryptoSkull #7200,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/7200,1.1367,0
cryptoskulls,https://lh3.googleusercontent.com/vNrMmSPwKGhTPOw4pTCEfpryX0foRHZ5q9O2_qR0tAnCMyaBv1WkQYQDTJLf3h_fPTfaEn1xZpLnYr7EfCiLu8Fv=w285,CryptoSkulls,CryptoSkull #2638,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/2638,1.1606,2
cryptoskulls,https://lh3.googleusercontent.com/0Hj8wu9_Lj-cxcBQKQHnSyc9nf1iTiND2FfFqvqq4boB0Vem86frSvgUjwQ_Tn8ESrPrFr9lSsYm2w3W2cQbRu4=w285,CryptoSkulls,CryptoSkull #2639,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/2639,1.1606,0
