,gameMode_name,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,team_0_crowns,opponent_0_crowns
17,Ladder,Lava Hound,Lumberjack,Baby Dragon,Arrows,Skeleton Army,Bats,Clone,Flying Machine,Bowler,Electro Wizard,Graveyard,Ice Wizard,Inferno Dragon,Freeze,Tornado,Valkyrie,0.0,1.0
18,Ladder,Lava Hound,Lumberjack,Baby Dragon,Arrows,Skeleton Army,Bats,Clone,Flying Machine,Golem,Night Witch,Bomber,Mega Minion,Baby Dragon,Zap,Tornado,Lumberjack,0.0,3.0
19,Draft_Competitive,Minions,Inferno Tower,Lightning,Ice Golem,Inferno Dragon,Lava Hound,Giant Snowball,Mother Witch,Ice Wizard,Royal Recruits,Poison,Miner,Minion Horde,Ram Rider,The Log,Night Witch,1.0,2.0
20,Draft_Competitive,Balloon,Rocket,Firecracker,Rage,Ice Golem,Arrows,Mini P.E.K.K.A,Musketeer,Royal Giant,Fireball,Spear Goblins,Bandit,Prince,Zap,Tesla,Electro Dragon,1.0,0.0
21,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Mega Knight,Golden Knight,Lightning,Electro Spirit,Ram Rider,Inferno Dragon,Barbarian Barrel,Magic Archer,1.0,0.0
22,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Golem,Lumberjack,Electro Wizard,Arrows,Bomber,Night Witch,Mega Minion,Elite Barbarians,1.0,0.0
23,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Arrows,Goblin Gang,Bats,Wall Breakers,Skeleton Barrel,Goblin Drill,Inferno Dragon,Mega Knight,1.0,0.0
24,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,The Log,Archers,Fireball,Tesla,X-Bow,Knight,Skeletons,Electro Spirit,2.0,1.0
0,Ladder,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,Minions,Cannon Cart,Archer Queen,Miner,Mortar,The Log,Guards,Fireball,1.0,0.0
1,Ladder,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,Inferno Tower,Arrows,Golden Knight,Goblin Drill,Princess,Giant Skeleton,Skeleton Army,Witch,0.0,1.0
