,0,1,2,3,4,5,6,7,8,9,result
184,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,1.0,lose
185,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
186,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,2.0,1.0,win
187,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,1.0,lose
188,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
189,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,1.0,lose
190,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,1.0,lose
191,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,3.0,0.0,win
192,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,2.0,lose
193,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,2.0,1.0,win
194,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,3.0,0.0,win
195,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
196,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
197,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,3.0,lose
198,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,3.0,lose
199,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
200,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,3.0,lose
201,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
202,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
203,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,1.0,lose
204,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,0.0,2.0,lose
205,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake,1.0,0.0,win
