County_full,longitude,latitude,D,E,F,color
"Davis County, UT",-111.9628,41.0171,50.0,3.1,0.02,green
"Kenai Peninsula Borough, AK",-150.881,60.1869,293.0,3.1,0.03,yellow
"Ingham County, MI",-84.4001,42.641,58.0,4.4,0.06,green
"Boulder County, CO",-105.3161,40.0461,52.0,1.8,0.01,green
"Albany County, NY",-73.8516,42.6556,55.0,4.8,0.02,green
"Trigg County, KY",-87.7569,36.9123,1140.0,3.0,0.01,yellow
"Oneida County, NY",-75.3864,43.1,73.0,3.6,0.03,green
"York County, ME",-70.6395,43.3377,80.0,2.1,0.04,green
"Virginia Beach city, VA",-76.0435,36.7335,37.0,1.6,0.01,green
"Benton County, WA",-119.3598,46.2384,81.0,3.3,0.02,green
"Roanoke city, VA",-79.958,37.2785,165.0,6.9,0.05,green
"Gordon County, GA",-84.865,34.4831,281.0,4.2,0.03,yellow
"Collier County, FL",-81.6392,26.1042,42.0,3.4,0.01,green
"Oswego County, NY",-76.2212,43.3953,137.0,8.3,0.04,green
"Williamson County, TX",-97.6191,30.6444,27.0,2.0,0.02,green
"Kauai County, HI",-159.4773,22.0328,221.0,0.0,0.01,yellow
"Pittsylvania County, VA",-79.3681,36.8827,265.0,1.0,0.02,yellow
"Forsyth County, NC",-80.2825,36.1547,42.0,5.2,0.02,green
"Marin County, CA",-122.6059,37.9841,61.0,3.6,0.02,green
"Pasco County, FL",-82.4787,28.2917,29.0,6.4,0.02,green
"Ector County, TX",-102.4538,31.9289,95.0,2.9,0.04,green
"Chester County, PA",-75.7115,39.9926,30.0,3.3,0.02,green
"Baldwin County, AL",-87.724,30.5549,70.0,2.4,0.01,green
"Richmond County, GA",-82.1242,33.3187,77.0,1.9,0.03,green
"Adams County, CO",-104.9126,39.8532,30.0,2.3,0.02,green
"Howard County, MD",-76.8481,39.1825,48.0,3.1,0.02,green
"Washington County, MN",-92.8898,45.015,58.0,3.5,0.03,green
"St. Lawrence County, NY",-75.1321,44.5427,141.0,8.6,0.01,green
"Gloucester County, NJ",-75.1499,39.754,52.0,6.2,0.02,green
"Deschutes County, OR",-121.3705,44.0975,76.0,3.5,0.06,green
"Washington County, OR",-122.867,45.4859,25.0,3.5,0.04,green
"Hamilton County, OH",-84.5042,39.2004,18.0,3.3,0.04,green
"Livingston County, MI",-83.9347,42.5629,78.0,4.6,0.02,green
"Kalamazoo County, MI",-85.5057,42.2769,56.0,4.9,0.05,green
"Glynn County, GA",-81.4594,31.1842,175.0,4.7,0.03,green
"Dutchess County, NY",-73.8461,41.7078,51.0,2.3,0.01,green
"Lake County, FL",-81.702,28.8153,41.0,3.7,0.02,green
"Christian County, KY",-87.4794,36.7959,211.0,3.0,0.01,yellow
"Buchanan County, MO",-94.8697,39.6443,169.0,7.9,0.06,green
"Anoka County, MN",-93.2456,45.2254,41.0,3.6,0.04,green
"Lake County, IN",-87.3903,41.4688,30.0,2.8,0.01,green
"Orange County, NC",-79.0995,36.0004,98.0,4.0,0.06,green
"Weld County, CO",-104.7317,40.3454,45.0,3.5,0.01,green
"Hampshire County, MA",-72.5931,42.333,90.0,1.8,0.02,green
"Campbell County, KY",-84.4182,39.0252,154.0,4.5,0.03,green
"Hancock County, ME",-68.4875,44.5847,260.0,9.8,0.02,yellow
"Seminole County, FL",-81.291,28.6997,30.0,3.7,0.02,green
"Osceola County, FL",-81.324,28.1897,38.0,1.9,0.02,green
"Penobscot County, ME",-68.7502,44.8549,93.0,9.8,0.02,green
"Polk County, IA",-93.6132,41.6622,29.0,2.8,0.02,green
"San Francisco County, CA",-122.443,37.7562,16.0,3.3,0.03,green
"St. Louis County, MN",-92.4624,47.4537,71.0,5.5,0.03,green
"Tuolumne County, CA",-120.2896,37.9894,259.0,5.3,0.07,yellow
"Cabarrus County, NC",-80.5793,35.3608,64.0,2.1,0.04,green
"Porter County, IN",-87.1035,41.5412,81.0,2.8,0.01,green
"Cowlitz County, WA",-122.9074,46.1466,125.0,3.5,0.04,green
"Iredell County, NC",-80.8676,35.8006,75.0,1.8,0.01,green
"Garland County, AR",-93.0459,34.5156,135.0,2.3,0.03,green
"Henderson County, NC",-82.4639,35.354,114.0,1.6,0.03,green
"Burke County, NC",-81.5843,35.7372,147.0,3.3,0.05,green
"Washington County, AR",-94.1913,36.0454,55.0,2.9,0.03,green
"White County, AR",-91.7039,35.2463,166.0,6.3,0.05,green
"Matanuska-Susitna Borough, AK",-149.4367,61.7225,120.0,3.1,0.03,green
"Letcher County, KY",-82.7498,37.1621,603.0,0.0,0.08,yellow
"Rockingham County, NH",-70.8063,42.9525,42.0,2.6,0.01,green
"Camden County, GA",-81.6436,30.8335,236.0,4.7,0.03,yellow
